procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  84168  64760  74172    0    0     0     0   10   13  0  0 100  0  0
 0  0      0  84168  64760  74188    0    0     0     0    7   12  0  0 100  0  0
 0  0      0  84168  64760  74188    0    0     0     0    8   11  0  0 100  0  0
 0  0      0  83640  64760  74188    0    0     0     0   35   39  2  0 98  0  0
 0  0      0  83640  64768  74180    0    0     0   116   24   23  0  0 100  0  0
 0  0      0  83516  64768  74192    0    0     0     0   19   45  0  0 100  0  0
 0  0      0  82472  64800  74472    0    0   292   128  198  295  2  1 48 49  0
 0  0      0  82472  64800  74484    0    0     0     0   44   55  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  82472  64800  74484    0    0     0     0   19   20  0  0 100  0  0
 0  0      0  82472  64800  74484    0    0     0     0   22   26  0  0 100  0  0
 0  0      0  82472  64800  74484    0    0     0     0   12   12  0  0 100  0  0
 0  0      0  82472  64808  74484    0    0     0   164   17   22  0  0 100  0  0
 0  0      0  82472  64808  74484    0    0     0     0   12   13  0  0 100  0  0
 0  0      0  82472  64808  74484    0    0     0     0   27   27  0  0 100  0  0
 0  0      0  82472  64808  74484    0    0     0     0   23   25  0  0 100  0  0
 0  0      0  82472  64808  74488    0    0     0     0   26   28  0  0 100  0  0
 0  0      0  82472  64816  74480    0    0     0    36   26   31  0  0 100  0  0
 0  0      0  82472  64816  74488    0    0     0     0   16   16  0  0 100  0  0
 0  0      0  82472  64816  74488    0    0     0     0    8   12  0  0 100  0  0
 0  0      0  82472  64816  74488    0    0     0     0   11   19  0  0 100  0  0
 0  0      0  82472  64816  74488    0    0     0     0   26   25  0  0 100  0  0
 1  0      0  77472  64964  78648    0    0  3620   652  309  202  6  0  6 88  0
 1  0      0  65724  64964  89880    0    0  2816     0  167   53 92  8  0  0  0
 1  0      0  52500  64996 102664    0    0  3208   300  240   69 92  4  0  4  0
 1  0      0  37740  65016 116840    0    0  3592     0  185   68 93  6  1  0  0
 1  0      0  30124  65028 124000    0    0   308     0  127   54 96  1  0  3  0
 0  2      0  54924  65052  99952    0    0     4  3060  203   43 90  4  0  6  0
 2  0      0  48072  65064 106852    0    0     0  9208 1092  125 68  6  0 26  0
 1  0      0  38664  65096 115920    0    0     0     4  102   77 92  8  0  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  30604  65096 123576    0    0     0     0  102   14 92  8  0  0  0
 1  0      0  22172  65120 131612    0    0     8     0  102   17 86  6  0  8  0
 1  1      0  24156  65124 129256    0    0     0  3700  578   82 91  6  0  3  0
 1  1      0  19816  65132 133512    0    0     0 26684 5196  331 95  5  0  0  0
 1  0      0  16964  65144 137096    0    0     0  9104 1933  139 99  1  0  0  0
 1  0      0  52892  65168 100776    0    0     0     0  118   42 97  3  0  0  0
 1  1      0  45964  65168 107212    0    0     0 15628 1567  155 85  1  0 14  0
 1  0      0  37160  65212 116164    0    0     0  6096 1363  110 92  8  0  0  0
 1  2      0  28612  65252 124272    0    0     0  4148  582   87 82  3  0 15  0
 1  0      0  23800  65268 130392    0    0     0 16020 3063  267 67  7  0 26  0
 1  0      0  14500  65288 139356    0    0     0     0  103   15 94  6  0  0  0
 1  0      0   5572  65288 147624    0    0     0     0  102   19 94  6  0  0  0
 1  0      0  12364  65292 140592    0    0     0     0  109   41 94  6  0  0  0
 1  0      0   8644  65300 144224    0    0     0     0  102   13 98  2  0  0  0
 1  1      0   5668  65304 146996    0    0     0 10656 1677  148 95  2  0  3  0
 1  1      0  56260  65304  97128    0    0     0 10856 1576  709 41  1  0 58  0
 1  0      0  49440  65336 104640    0    0     0  6656  731   49 95  5  0  0  0
 1  0      0  41504  65336 112456    0    0     0     0  101   13 96  4  0  0  0
 1  0      0  31956  65336 121556    0    0     0     0  102   15 93  7  0  0  0
 2  1      0  25756  65384 127388    0    0     0 15120 2282  198 76  5  0 19  0
 1  0      0  18812  65396 134656    0    0     0 16072 3315  231 93  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  11000  65396 142132    0    0     0     0  101   17 97  3  0  0  0
 1  0      0   3712  65272 148912    0    0     4     0  101   22 94  2  0  4  0
 1  0      0   4112  65156 148240    0    0     4  1396  185   48 87  2  0 11  0
 1  1      0  12572  64976 140048    0    0     4 17740 2959  236 93  2  0  4  1
 1  0      0  10588  64996 142876    0    0     0 15000 3292  211 100  0  0  0  0
 1  0      0   7488  64996 145944    0    0     0     0  102   11 99  1  0  0  0
 1  0      0  66512  65024  87932    0    0     0     0  108   35 97  3  0  0  0
 1  0      0  59072  65024  95368    0    0     0   188  144   17 94  6  0  0  0
 1  1      0  52624  65024 101652    0    0     0 20496 2393  206 75  4  0 22  0
 1  0      0  43820  65036 110480    0    0     0  1124  445   37 95  5  0  0  0
 1  0      0  34024  65092 119776    0    0     0     0  101   13 94  6  0  0  0
 1  0      0  26212  65092 127212    0    0     0     0  102   11 93  7  0  0  0
 1  0      0  18896  65092 134196    0    0     0  4888  238   25 90 10  0  0  0
 1  1      0  14804  65092 138096    0    0     0 20488 3018  276 56  7  0 37  0
 1  0      0   7364  65128 145496    0    0     0 13556 2444  193 96  4  0  0  0
 2  0      0   4288  64348 149188    0    0     0  4408  379   33 90 10  0  0  0
 1  0      0  14268  64076 139580    0    0     0  3176  287   67 95  5  0  0  0
 1  0      0  11912  64076 141920    0    0     0     0  101   15 99  1  0  0  0
 1  0      0  10176  64096 144208    0    0     0 17360 3003  199 95  1  0  4  0
 1  0      0   8192  64096 146132    0    0     0     0  103   13 99  1  0  0  0
 1  0      0   5712  64100 148624    0    0     0     0  102   13 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  73788  64128  81776    0    0     0     0  109   29 95  5  0  0  0
 1  0      0  66208  64128  88552    0    0     0     0  106   24 96  4  0  0  0
 1  1      0  60612  64140  93740    0    0     0 22824 3593  325 63  4  0 33  0
 1  0      0  53048  64180 101280    0    0     0  1680  401   64 98  2  0  0  0
 2  0      0  47004  64180 108300    0    0     0     8  109  115 91  9  0  0  0
 1  0      0  42168  64260 113128    0    0     0 15860 2852  261 71  3  0 26  0
 1  0      0  35472  64260 119524    0    0     0     0  101   13 94  6  0  0  0
 1  0      0  26544  64260 127924    0    0     0    72  106   28 98  2  0  0  0
 1  0      0  19476  64260 134476    0    0     0   144  110   55 92  8  0  0  0
 1  0      0  11664  64260 141676    0    0     0   380  108   27 96  4  0  0  0
 1  2      0   6952  64292 146220    0    0     0  7868 1229  138 55  1  0 44  0
 2  3      0   4336  61992 151324    0    0     0 20004 4260  324 89 11  0  0  0
 2  0      0  13880  57744 145484    0    0     0  7488 1745  191 95  4  0  0  1
 1  0      0  12308  57748 147572    0    0     0     0  102   14 99  1  0  0  0
 1  0      0  10572  57748 149340    0    0     0     0  102   17 100  0  0  0  0
 1  1      0   9332  57772 151064    0    0     4 18656 3257  225 96  1  0  3  0
 3  0      0   7812  57772 152572    0    0     4     0  117  137 94  6  0  0  0
 1  0      0   5968  57776 154624    0    0     0     0  101   26 100  0  0  0  0
 1  0      0  83344  57808  78568    0    0     0     0  112   36 96  4  0  0  0
 1  0      0  75532  57808  86324    0    0     0     0  101   14 93  7  0  0  0
 1  1      0  70076  57808  91576    0    0     0 18932 2827  243 67  7  0 26  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  60528  57820 101344    0    0     0  2492  756   51 92  8  0  0  0
 1  0      0  52964  57820 108624    0    0     0   280  162   15 94  6  0  0  0
 1  0      0  45664  57888 115456    0    0     0     0  102   13 95  5  0  0  0
 1  0      0  38472  57888 122372    0    0     0  3652  310   22 93  7  0  0  0
 2  2      0  33016  57888 127592    0    0     0 21708 3775  310 73  6  0 21  0
 1  0      0  24336  57896 136008    0    0     0 10588 2463  182 94  6  0  0  0
 1  0      0  16276  57896 143912    0    0     0  2160  216   25 92  8  0  0  0
 1  0      0   8960  57932 150896    0    0     0  2372  178   17 98  2  0  0  0
 2  0      0   4428  55884 157112    0    0     0  3864  242   27 94  6  0  0  0
 2  1      0   3928  52044 161576    0    0     0 20456 3052  282 69  2  0 29  0
 1  0      0  14120  47188 156544    0    0     0  5484 1445  143 92  8  0  0  0
 1  0      0  12136  47188 158520    0    0     0     0  103   15 100  0  0  0  0
 1  0      0  10524  47188 160120    0    0     0   744  122   19 97  3  0  0  0
 1  0      0   8664  47188 161992    0    0     0     0  101   13 100  0  0  0  0
 1  0      0   7796  47200 163460    0    0     0 12980 1961  143 95  2  0  3  0
 1  0      0   6308  47200 164968    0    0     0     0  101   11 99  1  0  0  0
 0  0      0   5596  47200 165940    0    0     0     0   81   29 67  2 31  0  0
 0  0      0   5596  47200 165940    0    0     0     0   11   13  0  0 100  0  0
 0  0      0   5580  47200 166012    0    0    36     0   27   24  0  1 99  0  0
 0  0      0   5068  47248 166016    0    0     0  3684  227  103  0  0 97  3  0
 0  0      0   5068  47248 166000    0    0     0     0    9   13  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0   5844  47264 165984    0    0     0    56   36   59  0  0 100  0  0
